LON,LAT,EDO,CLAVE,ESTACION,abr-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",0
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",0
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",0
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",13.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",10.13
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",5.82
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",16.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",19.4
